mentors,mentees,regime,method,trials,lat_mean_s,lat_std_s,lat_p50_s,lat_p90_s,lat_p95_s,lat_p99_s,lat_p95_ci95_low_s,lat_p95_ci95_high_s,unassigned_mean,avg_compat_mean,same_major_pct_mean,ilp_mip_gap_mean,solver,time_limit,mip_gap_target,threads,warm_start,seed,hw_python,hw_platform,hw_processor,hw_machine,hw_python_implementation,hw_cpu_count
300,600,medium,gale_shapley,30,0.2820060336998722,0.04344398372134101,0.2748696004982776,0.3324768684014998,0.33467075419994213,0.3929421950314282,0.32441423294822014,0.41626439900210244,0.6,0.7194532311333807,74.15218464565928,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
300,600,heavy,ilp,30,15.95021627690027,1.0365224495733898,15.658367240999723,17.264595030099738,18.304755251198365,18.44769064221102,16.58700374825699,18.457863422001537,0.0,0.7014897949735451,70.85555555555555,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
300,600,heavy,greedy,30,0.04482938000001013,0.010314933804914295,0.04241129999900295,0.051252330001807435,0.062291104999530916,0.08092090329104396,0.047384699999383884,0.08686369900169666,1.3666666666666667,0.6057296137507827,45.86473648328457,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
300,600,heavy,gale_shapley,30,0.174768576800246,0.027833000235870854,0.16836390000025858,0.19771202000047197,0.21403379945095363,0.26746728700218236,0.1871937728503326,0.287765199002024,1.7333333333333334,0.6800012495589288,64.88141147153367,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,light,ilp,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,light,greedy,30,0.17655120199973073,0.030055581764117507,0.1724158904980868,0.19713244370032046,0.2159143612505431,0.2777259330286689,0.19131689999994705,0.2997500969977409,0.1,0.7200278128567112,74.53089089089089,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,light,gale_shapley,30,1.1464123708670135,0.35556285872775867,1.0361615070014523,1.5229912746024639,1.8354769691502937,2.3409224040903793,1.202345891000732,2.447955395000463,0.1,0.7651125593475689,81.96813813813813,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,medium,ilp,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,medium,greedy,30,0.1753380535330507,0.0538526668164813,0.16015339750083513,0.2131429811004637,0.2635806320478877,0.36747439525708625,0.19167769864889123,0.40452009899672703,0.5,0.7111400850529335,72.94973432350186,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,medium,gale_shapley,30,1.0852820505996836,0.42555457286817805,0.89055994249793,1.6581121955001439,2.0400952778509223,2.331459403000481,1.3626418362033381,2.373267601000407,0.6333333333333333,0.7565364412251303,80.91111007467052,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,heavy,ilp,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,heavy,greedy,30,0.13741186006664066,0.022764513460878606,0.13517349600078887,0.17573243200095023,0.1837773876493884,0.18419500410087494,0.15176825835005728,0.18419999500110862,1.3,0.6730515591991936,63.21899378561271,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
500,1000,heavy,gale_shapley,30,0.6498670895337758,0.23895044163937507,0.5658233004996873,0.887479984300444,1.001652277799621,1.5015701415817244,0.7134433430001081,1.680812500002503,2.066666666666667,0.7273945522768233,75.10195094148702,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
